amfi_code,date,nav,daily_return
100016,2022-01-04,515.0971,-0.0103056752785224
100016,2022-01-05,521.7239,0.0128651471732224
100016,2022-01-06,515.788,-0.011377473794089
100016,2022-01-07,515.1639,-0.0012099932530419
100016,2022-01-10,510.7136,-0.0086386099647122
100016,2022-01-11,513.5542,0.0055620214539029
100016,2022-01-12,512.3195,-0.0024042252989072
100016,2022-01-13,510.2445,-0.0040502069509357
100016,2022-01-14,514.3636,0.0080727964730633
100016,2022-01-17,514.7627,0.0007759102704778
100016,2022-01-18,517.3803,0.0050850615244655
100016,2022-01-19,513.1866,-0.0081056429864068
100016,2022-01-20,507.1294,-0.0118031141109297
100016,2022-01-21,507.871,0.0014623486628857
100016,2022-01-24,506.7062,-0.0022934957892849
100016,2022-01-25,509.7762,0.006058737785328
100016,2022-01-26,509.68,-0.0001887102614833
100016,2022-01-27,510.8661,0.0023271464448282
100016,2022-01-28,503.8641,-0.0137061355216171
100016,2022-01-31,512.5903,0.0173185587145421
100016,2022-02-01,512.1124,-0.0009323235340191
100016,2022-02-02,515.5386,0.0066903281389008
100016,2022-02-03,512.0153,-0.0068342118320527
100016,2022-02-04,513.6729,0.0032374032572854
100016,2022-02-07,508.0666,-0.0109141440009781
100016,2022-02-08,510.3595,0.0045129910133829
100016,2022-02-09,509.0223,-0.0026201138609157
100016,2022-02-10,509.4161,0.0007736399760875
100016,2022-02-11,512.826,0.0066937421098391
100016,2022-02-14,507.5435,-0.0103007647818168
100016,2022-02-15,504.7492,-0.005505537948964
100016,2022-02-16,507.0506,0.0045594921200469
100016,2022-02-17,516.7872,0.0192024227956737
100016,2022-02-18,516.4246,-0.0007016427651457
100016,2022-02-21,519.3918,0.0057456596761655
100016,2022-02-22,519.1698,-0.0004274229974365
100016,2022-02-23,528.4118,0.0178014976988261
100016,2022-02-24,520.6004,-0.0147827887265196
100016,2022-02-25,521.3038,0.0013511322695871
100016,2022-02-28,514.1489,-0.0137250102531383
100016,2022-03-01,503.1674,-0.0213585986472013
100016,2022-03-02,504.7495,0.0031442816048894
100016,2022-03-03,505.6316,0.0017475995518567
100016,2022-03-04,504.6233,-0.0019941396067809
100016,2022-03-07,504.411,-0.0004207098641698
100016,2022-03-08,518.6513,0.0282315413422784
100016,2022-03-09,517.7387,-0.0017595636991558
100016,2022-03-10,520.3416,0.00502743951727
100016,2022-03-11,517.6372,-0.0051973549683514
100016,2022-03-14,519.2545,0.003124389050864
100016,2022-03-15,518.432,-0.0015840016793305
100016,2022-03-16,516.825,-0.0030997314980556
100016,2022-03-17,525.4534,0.0166950128186522
100016,2022-03-18,531.2109,0.010957203816742
100016,2022-03-21,532.1264,0.0017234209614296
